"Outcome","Week End","Age Group","Unvaccinated Rate","Vaccinated Rate","Boosted Rate","Crude Vaccinated Ratio","Crude Boosted Ratio","Age-Adjusted Unvaccinated Rate","Age-Adjusted Vaccinated Rate","Age-Adjusted Boosted Rate","Age-Adjusted Vaccinated Ratio","Age-Adjusted Boosted Ratio","Population Unvaccinated","Population Vaccinated","Population Boosted","Outcome Unvaccinated","Outcome Vaccinated","Outcome Boosted","Age Group Min","Age Group Max"
"Cases","04/29/2023","18-29","55.6","12.6","24.7","4.4","2.3",,,,,,"75,493","214,091","161,686","42","27","40","18","29"
"Deaths","10/30/2021","80+","10.1","6.5","0.0","1.6",,,,,,,"29,835","46,071","8,679","3","3","0","80","200"
"Deaths","11/11/2023","18-29","0.0","0.0","0.0",,,,,,,,"68,798","215,294","162,511","0","0","0","18","29"
"Deaths","11/06/2021","80+","20.3","6.8","0.0","3.0",,,,,,,"29,553","43,800","11,093","6","3","0","80","200"
"Cases","01/22/2022","5-11","627.5","873.0",,"0.7",,,,,,,"119,848","54,870",,"752","479",,"5","11"
"Hospitalizations","06/04/2022","0-4","6.1",,,,,,,,,,"162,642",,,"10",,,"0","4"
"Hospitalizations","05/15/2021","All","16.9","1.9",,"8.9",,"22.3","1.3",,"17.8",,"1,387,913","925,369",,"234","18",,"999","999"
"Deaths","10/14/2023","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Cases","07/10/2021","30-49","33.1","11.2",,"3.0",,,,,,,"280,996","481,217",,"93","54",,"30","49"
"Cases","04/02/2022","12-17","102.0","56.5","76.9","1.8","1.3",,,,,,"38,227","95,562","31,203","39","54","24","12","17"
"Cases","03/19/2022","50-64","72.2","27.7","37.0","2.6","2.0",,,,,,"45,704","140,906","224,298","33","39","83","50","64"
"Deaths","11/26/2022","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Hospitalizations","02/25/2023","All","10.1","5.0","8.2","2.0","1.2","12.9","8.0","5.7","1.6","2.3","545,222","857,371","1,040,416","55","43","85","999","999"
"Deaths","09/04/2021","80+","31.9","3.8",,"8.4",,,,,,,"31,387","53,047",,"10","2",,"80","200"
"Cases","08/28/2021","80+","107.7","82.8",,"1.3",,,,,,,"31,562","53,137",,"34","44",,"80","200"
"Hospitalizations","09/24/2022","65-79","24.6","23.0","16.9","1.1","1.5",,,,,,"44,762","43,407","171,353","11","10","29","65","79"
"Hospitalizations","09/24/2022","50-64","33.0","8.8","6.9","3.8","4.8",,,,,,"39,417","125,139","246,539","13","11","17","50","64"
"Cases","07/24/2021","50-64","95.7","22.8",,"4.2",,,,,,,"102,426","311,064",,"98","71",,"50","64"
"Hospitalizations","11/06/2021","5-11","2.0",,,,,,,,,,"204,950",,,"4",,,"5","11"
"Cases","11/06/2021","5-11","178.1",,,,,,,,,,"204,950",,,"365",,,"5","11"
"Hospitalizations","01/21/2023","0-4","1.2","0.0",,,,,,,,,"162,642",,,"2","0",,"0","4"
"Deaths","10/07/2023","5-11","0.0","0.0","0.0",,,,,,,,"89,345","82,666","21,271","0","0","0","5","11"
"Hospitalizations","05/08/2021","80+","71.6","2.3",,"31.1",,,,,,,"36,289","44,240",,"26","1",,"80","200"
"Deaths","11/13/2021","5-11","0.0",,,,,,,,,,"180,456",,,"0",,,"5","11"
"Cases","12/04/2021","80+","188.7","178.1","34.7","1.1","5.4",,,,,,"28,623","29,758","25,961","54","53","9","80","200"
"Cases","05/29/2021","0-4","25.8",,,,,,,,,,"162,642",,,"42",,,"0","4"
"Cases","07/17/2021","80+","24.2","0.0",,,,,,,,,"33,027","51,912",,"8","0",,"80","200"
"Hospitalizations","06/19/2021","80+","3.0","0.0",,,,,,,,,"33,852","50,423",,"1","0",,"80","200"
"Deaths","03/18/2023","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Hospitalizations","08/07/2021","80+","34.1","15.2",,"2.2",,,,,,,"32,284","52,589",,"11","8",,"80","200"
"Cases","04/22/2023","0-4","29.5","1.8",,"16.4",,,,,,,"162,642",,,"48","3",,"0","4"
"Cases","11/11/2023","0-4","43.7","2.5",,"17.5",,,,,,,"162,642",,,"71","4",,"0","4"
"Hospitalizations","10/22/2022","0-4","3.7","0.0",,,,,,,,,"162,642",,,"6","0",,"0","4"
"Hospitalizations","04/22/2023","12-17","3.1","0.0","0.0",,,,,,,,"32,777","86,544","44,574","1","0","0","12","17"
"Hospitalizations","06/18/2022","0-4","4.3",,,,,,,,,,"162,642",,,"7",,,"0","4"
"Deaths","04/02/2022","80+","0.0","0.0","0.0",,,,,,,,"27,040","13,879","43,312","0","0","0","80","200"
"Cases","10/02/2021","0-4","60.3",,,,,,,,,,"162,642",,,"98",,,"0","4"
"Cases","08/19/2023","5-11","16.7","9.7","14.1","1.7","1.2",,,,,,"89,655","82,672","21,262","15","8","3","5","11"
"Cases","02/18/2023","18-29","162.0","52.5","66.8","3.1","2.4",,,,,,"77,142","213,438","161,646","125","112","108","18","29"
"Cases","07/08/2023","0-4","7.4","1.2",,"6.2",,,,,,,"162,642",,,"12","2",,"0","4"
"Hospitalizations","02/12/2022","50-64","37.6","5.2","3.8","7.2","9.9",,,,,,"47,848","152,527","208,125","18","8","8","50","64"
"Deaths","04/01/2023","All","0.6","0.1","0.2","6.0","3.0","0.6","0.2","0.1","2.8","4.6","541,142","859,045","1,040,539","3","1","2","999","999"
"Deaths","06/19/2021","80+","0.0","0.0",,,,,,,,,"33,852","50,423",,"0","0",,"80","200"
"Cases","09/10/2022","50-64","356.7","93.4","150.7","3.8","2.4",,,,,,"40,087","125,285","246,259","143","117","371","50","64"
"Deaths","10/02/2021","80+","35.9","1.9",,"18.9",,,,,,,"30,671","52,751",,"11","1",,"80","200"
"Cases","05/13/2023","0-4","27.1","0.6",,"45.2",,,,,,,"162,642",,,"44","1",,"0","4"
"Deaths","10/21/2023","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Cases","03/18/2023","0-4","42.4","7.4",,"5.7",,,,,,,"162,642",,,"69","12",,"0","4"
"Hospitalizations","09/04/2021","80+","31.9","28.3",,"1.1",,,,,,,"31,387","53,047",,"10","15",,"80","200"
"Hospitalizations","09/03/2022","0-4","4.3","0.6",,"7.2",,,,,,,"162,642",,,"7","1",,"0","4"
"Hospitalizations","07/29/2023","0-4","0.6","0.0",,,,,,,,,"162,642",,,"1","0",,"0","4"
"Hospitalizations","12/17/2022","0-4","7.4","0.0",,,,,,,,,"162,642",,,"12","0",,"0","4"
"Deaths","06/12/2021","80+","5.9","4.0",,"1.5",,,,,,,"34,140","49,948",,"2","2",,"80","200"
"Deaths","08/20/2022","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Deaths","08/14/2021","80+","6.2","0.0",,,,,,,,,"32,042","52,760",,"2","0",,"80","200"
"Hospitalizations","01/28/2023","18-29","10.3","1.4","0.6","7.4","17.2",,,,,,"77,858","213,199","161,636","8","3","1","18","29"
"Deaths","11/11/2023","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Hospitalizations","04/22/2023","0-4","0.6","0.0",,,,,,,,,"162,642",,,"1","0",,"0","4"
"Hospitalizations","05/14/2022","0-4","2.5",,,,,,,,,,"162,642",,,"4",,,"0","4"
"Deaths","12/11/2021","80+","38.7","14.4","3.6","2.7","10.8",,,,,,"28,442","27,803","28,010","11","4","1","80","200"
"Cases","09/25/2021","80+","67.9","47.3",,"1.4",,,,,,,"30,936","52,848",,"21","25",,"80","200"
"Cases","06/05/2021","80+","17.4","6.1",,"2.9",,,,,,,"34,448","49,247",,"6","3",,"80","200"
"Cases","04/16/2022","0-4","90.4",,,,,,,,,,"162,642",,,"147",,,"0","4"
"Hospitalizations","04/03/2021","12-17","1.1",,,,,,,,,,"178,794",,,"2",,,"12","17"
"Deaths","10/29/2022","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Deaths","10/01/2022","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Cases","08/14/2021","5-11","111.2",,,,,,,,,,"210,448",,,"234",,,"5","11"
"Hospitalizations","05/01/2021","80+","78.4","11.9",,"6.6",,,,,,,"37,001","42,149",,"29","5",,"80","200"
"Cases","07/30/2022","0-4","170.9","0.0",,,,,,,,,"162,642",,,"278","0",,"0","4"
"Deaths","09/30/2023","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Deaths","05/14/2022","All","0.2","0.3","0.3","0.7","0.7","0.1","0.5","0.2","0.2","0.6","646,969","886,432","961,158","1","3","3","999","999"
"Hospitalizations","04/10/2021","80+","69.3","9.9",,"7.0",,,,,,,"40,425","30,292",,"28","3",,"80","200"
"Cases","01/01/2022","0-4","1,471.3",,,,,,,,,,"162,642",,,"2,393",,,"0","4"
"Cases","05/01/2021","5-11","112.6",,,,,,,,,,"210,448",,,"237",,,"5","11"
"Hospitalizations","05/06/2023","0-4","1.8","0.0",,,,,,,,,"162,642",,,"3","0",,"0","4"
"Deaths","09/10/2022","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Deaths","09/09/2023","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Hospitalizations","08/05/2023","65-79","7.6","4.6","5.8","1.7","1.3",,,,,,"39,261","43,418","171,751","3","2","10","65","79"
"Cases","06/18/2022","30-49","306.1","138.4","277.5","2.2","1.1",,,,,,"128,401","281,885","338,011","393","390","938","30","49"
"Deaths","09/24/2022","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Cases","03/05/2022","0-4","45.5",,,,,,,,,,"162,642",,,"74",,,"0","4"
"Deaths","12/24/2022","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Cases","05/21/2022","50-64","446.4","184.0","280.2","2.4","1.6",,,,,,"43,239","133,132","235,218","193","245","659","50","64"
"Hospitalizations","03/11/2023","0-4","1.2","0.6",,"2.0",,,,,,,"162,642",,,"2","1",,"0","4"
"Cases","02/11/2023","0-4","61.5","2.5",,"24.6",,,,,,,"162,642",,,"100","4",,"0","4"
"Hospitalizations","05/21/2022","18-29","11.5","0.9","3.3","12.8","3.5",,,,,,"95,759","216,738","152,215","11","2","5","18","29"
"Deaths","05/15/2021","65-79","24.4","1.2",,"20.3",,,,,,,"81,874","166,358",,"20","2",,"65","79"
"Cases","10/29/2022","0-4","68.2","1.8",,"37.9",,,,,,,"162,642",,,"111","3",,"0","4"
"Cases","10/09/2021","5-11","119.3",,,,,,,,,,"210,448",,,"251",,,"5","11"
"Hospitalizations","05/13/2023","0-4","1.2","0.0",,,,,,,,,"162,642",,,"2","0",,"0","4"
"Deaths","06/11/2022","12-17","0.0","0.0","0.0",,,,,,,,"36,826","92,726","35,890","0","0","0","12","17"
"Cases","10/07/2023","5-11","13.4","2.4","9.4","5.6","1.4",,,,,,"89,345","82,666","21,271","12","2","2","5","11"
"Cases","03/19/2022","80+","11.1","42.3","30.3","0.3","0.4",,,,,,"27,097","14,172","42,943","3","6","13","80","200"
"Hospitalizations","11/25/2023","5-11","0.0","0.0","0.0",,,,,,,,"88,264","81,816","22,441","0","0","0","5","11"
"Deaths","07/31/2021","50-64","3.0","0.3",,"10.0",,,,,,,"99,806","313,577",,"3","1",,"50","64"
"Hospitalizations","02/25/2023","0-4","3.7","0.0",,,,,,,,,"162,642",,,"6","0",,"0","4"
"Hospitalizations","09/23/2023","All","8.2","3.1","6.1","2.6","1.3","10.8","4.9","4.1","2.2","2.6","525,521","860,278","1,040,840","43","27","63","999","999"
"Hospitalizations","09/16/2023","5-11","0.0","0.0","4.7",,"0.0",,,,,,"89,406","82,669","21,266","0","0","1","5","11"
"Cases","05/06/2023","0-4","27.1","0.6",,"45.2",,,,,,,"162,642",,,"44","1",,"0","4"
"Cases","04/30/2022","0-4","164.2",,,,,,,,,,"162,642",,,"267",,,"0","4"
"Hospitalizations","08/27/2022","0-4","6.8","0.0",,,,,,,,,"162,642",,,"11","0",,"0","4"
"Hospitalizations","02/18/2023","All","8.4","4.2","7.1","2.0","1.2","10.3","6.3","5.1","1.6","2.0","546,175","856,948","1,040,388","46","36","74","999","999"
"Deaths","11/27/2021","80+","6.9","21.0","0.0","0.3",,,,,,,"28,858","33,319","22,158","2","7","0","80","200"
"Cases","07/02/2022","0-4","175.8",,,,,,,,,,"162,642",,,"286",,,"0","4"
"Deaths","04/24/2021","80+","15.8","2.6",,"6.1",,,,,,,"38,015","38,918",,"6","1",,"80","200"
"Cases","08/20/2022","0-4","145.1","3.1",,"46.8",,,,,,,"162,642",,,"236","5",,"0","4"
"Cases","02/18/2023","0-4","57.2","4.9",,"11.7",,,,,,,"162,642",,,"93","8",,"0","4"
"Deaths","02/18/2023","80+","0.0","0.0","4.2",,"0.0",,,,,,"24,700","11,377","47,122","0","0","2","80","200"
"Deaths","04/10/2021","18-29","0.0","0.0",,,,,,,,,"353,270","54,598",,"0","0",,"18","29"
"Cases","04/01/2023","5-11","76.8","98.2","89.5","0.8","0.9",,,,,,"91,185","82,489","21,218","70","81","19","5","11"
"Cases","08/19/2023","0-4","43.0","1.8",,"23.9",,,,,,,"162,642",,,"70","3",,"0","4"
"Cases","07/31/2021","80+","21.5","34.4",,"0.6",,,,,,,"32,548","52,348",,"7","18",,"80","200"
"Deaths","03/04/2023","All","0.4","0.2","0.9","2.0","0.4","0.6","0.4","0.6","1.4","1.0","544,398","857,702","1,040,439","2","2","9","999","999"
"Cases","04/09/2022","0-4","95.3",,,,,,,,,,"162,642",,,"155",,,"0","4"
"Cases","11/04/2023","65-79","47.5","56.8","51.7","0.8","0.9",,,,,,"37,857","44,044","172,280","18","25","89","65","79"
"Cases","10/15/2022","0-4","45.5","2.5",,"18.2",,,,,,,"162,642",,,"74","4",,"0","4"
"Cases","07/01/2023","0-4","8.0","1.2",,"6.7",,,,,,,"162,642",,,"13","2",,"0","4"
"Deaths","12/03/2022","All","0.9","0.5","0.1","1.8","9.0","0.8","1.0","0.1","0.8","15.2","562,883","851,081","1,039,826","5","4","1","999","999"
"Cases","06/18/2022","0-4","168.5",,,,,,,,,,"162,642",,,"274",,,"0","4"
"Hospitalizations","05/29/2021","80+","48.9","4.1",,"11.9",,,,,,,"34,769","48,292",,"17","2",,"80","200"
"Hospitalizations","09/30/2023","0-4","1.8","0.6",,"3.0",,,,,,,"162,642",,,"3","1",,"0","4"
"Deaths","05/14/2022","18-29","0.0","0.0","0.7",,"0.0",,,,,,"96,186","217,174","151,504","0","0","1","18","29"
"Deaths","06/24/2023","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Cases","08/21/2021","5-11","101.7",,,,,,,,,,"210,448",,,"214",,,"5","11"
"Cases","05/28/2022","0-4","200.4",,,,,,,,,,"162,642",,,"326",,,"0","4"
"Deaths","11/04/2023","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Hospitalizations","05/27/2023","0-4","1.8","0.0",,,,,,,,,"162,642",,,"3","0",,"0","4"
"Hospitalizations","01/07/2023","0-4","5.5","0.0",,,,,,,,,"162,642",,,"9","0",,"0","4"
"Deaths","04/29/2023","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Hospitalizations","07/31/2021","80+","21.5","11.5",,"1.9",,,,,,,"32,548","52,348",,"7","6",,"80","200"
"Cases","10/02/2021","80+","68.5","41.7",,"1.6",,,,,,,"30,671","52,751",,"21","22",,"80","200"
"Cases","10/30/2021","12-17","211.9","25.9",,"8.2",,,,,,,"64,181","100,542",,"136","26",,"12","17"
"Hospitalizations","08/20/2022","0-4","8.6","0.0",,,,,,,,,"162,642",,,"14","0",,"0","4"
"Hospitalizations","04/17/2021","30-49","19.6","0.7",,"28.0",,,,,,,"419,282","148,748",,"82","1",,"30","49"
"Cases","07/03/2021","65-79","20.7","5.3",,"3.9",,,,,,,"72,516","187,809",,"15","10",,"65","79"
"Hospitalizations","10/30/2021","80+","33.5","17.4","0.0","1.9",,,,,,,"29,835","46,071","8,679","10","8","0","80","200"
"Cases","06/19/2021","80+","5.9","0.0",,,,,,,,,"33,852","50,423",,"2","0",,"80","200"
"Hospitalizations","11/19/2022","0-4","5.5","0.0",,,,,,,,,"162,642",,,"9","0",,"0","4"
"Cases","07/09/2022","0-4","170.9",,,,,,,,,,"162,642",,,"278",,,"0","4"
"Cases","08/28/2021","5-11","135.0",,,,,,,,,,"210,448",,,"284",,,"5","11"
"Hospitalizations","09/04/2021","30-49","28.6","1.4",,"20.4",,,,,,,"237,570","516,114",,"68","7",,"30","49"
"Cases","05/14/2022","0-4","276.7",,,,,,,,,,"162,642",,,"450",,,"0","4"
"Hospitalizations","06/24/2023","30-49","0.9","0.4","0.0","2.3",,,,,,,"108,055","278,401","347,307","1","1","0","30","49"
"Cases","05/15/2021","18-29","136.2","10.7",,"12.7",,,,,,,"265,014","159,262",,"361","17",,"18","29"
"Cases","07/24/2021","12-17","70.0","16.4",,"4.3",,,,,,,"98,632","61,084",,"69","10",,"12","17"
"Cases","06/11/2022","12-17","304.1","169.3","220.1","1.8","1.4",,,,,,"36,826","92,726","35,890","112","157","79","12","17"
"Deaths","08/28/2021","30-49","0.8","0.2",,"4.0",,,,,,,"243,499","512,355",,"2","1",,"30","49"
"Hospitalizations","03/18/2023","80+","8.1","26.4","34.0","0.3","0.2",,,,,,"24,655","11,380","47,126","2","3","16","80","200"
"Deaths","10/14/2023","12-17","0.0","0.0","0.0",,,,,,,,"31,636","86,569","44,606","0","0","0","12","17"
"Cases","10/22/2022","50-64","305.1","77.5","103.8","3.9","2.9",,,,,,"37,697","125,220","246,635","115","97","256","50","64"
"Cases","08/05/2023","65-79","20.4","36.9","32.6","0.6","0.6",,,,,,"39,261","43,418","171,751","8","16","56","65","79"
"Deaths","08/27/2022","50-64","0.0","0.8","0.0","0.0",,,,,,,"40,343","125,946","245,378","0","1","0","50","64"
"Cases","07/15/2023","80+","4.1","17.6","23.3","0.2","0.2",,,,,,"24,489","11,383","47,130","1","2","11","80","200"
"Hospitalizations","08/14/2021","30-49","22.4","1.2",,"18.7",,,,,,,"254,572","504,735",,"57","6",,"30","49"
"Hospitalizations","11/27/2021","12-17","1.7","0.0",,,,,,,,,"59,342","104,798",,"1","0",,"12","17"
"Cases","08/27/2022","0-4","123.0","2.5",,"49.2",,,,,,,"162,642",,,"200","4",,"0","4"
"Cases","08/27/2022","12-17","175.4","83.8","82.0","2.1","2.1",,,,,,"35,352","87,164","42,657","62","73","35","12","17"
"Cases","04/15/2023","5-11","51.6","41.2","80.1","1.3","0.6",,,,,,"91,051","82,568","21,228","47","34","17","5","11"
"Hospitalizations","05/20/2023","18-29","4.0","0.5","1.2","8.0","3.3",,,,,,"75,004","214,136","161,691","3","1","2","18","29"
"Deaths","09/18/2021","30-49","4.0","0.0",,,,,,,,,"227,597","524,734",,"9","0",,"30","49"
"Deaths","11/26/2022","18-29","0.0","0.0","0.0",,,,,,,,"81,540","212,520","161,571","0","0","0","18","29"
"Hospitalizations","11/11/2023","0-4","4.9","0.0",,,,,,,,,"162,642",,,"8","0",,"0","4"
"Deaths","05/29/2021","65-79","11.6","0.0",,,,,,,,,"77,839","175,452",,"9","0",,"65","79"
"Cases","07/16/2022","0-4","151.9",,,,,,,,,,"162,642",,,"247",,,"0","4"
"Cases","01/08/2022","12-17","2,516.1","1,531.7","1,041.7","1.6","2.4",,,,,,"51,071","107,463","3,456","1,285","1,646","36","12","17"
"Deaths","04/29/2023","All","0.4","0.0","0.1",,"4.0","0.7","0.0","0.1",,"10.4","538,163","860,165","1,040,623","2","0","1","999","999"
"Cases","06/12/2021","50-64","36.5","5.0",,"7.3",,,,,,,"117,767","280,325",,"43","14",,"50","64"
"Deaths","09/30/2023","30-49","0.0","0.4","0.0","0.0",,,,,,,"105,830","278,394","347,333","0","1","0","30","49"
"Hospitalizations","01/28/2023","0-4","3.1","0.0",,,,,,,,,"162,642",,,"5","0",,"0","4"
"Deaths","12/04/2021","5-11","0.0","0.0",,,,,,,,,"156,736","13",,"0","0",,"5","11"
"Hospitalizations","04/16/2022","30-49","3.0","2.1","1.8","1.4","1.7",,,,,,"131,729","288,694","328,103","4","6","6","30","49"
"Hospitalizations","03/11/2023","80+","36.5","52.7","42.4","0.7","0.9",,,,,,"24,673","11,378","47,126","9","6","20","80","200"
"Hospitalizations","07/16/2022","0-4","4.9",,,,,,,,,,"162,642",,,"8",,,"0","4"
"Cases","07/17/2021","65-79","36.6","7.4",,"4.9",,,,,,,"71,101","190,176",,"26","14",,"65","79"
"Deaths","10/08/2022","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Hospitalizations","04/15/2023","12-17","0.0","1.2","0.0","0.0",,,,,,,"32,822","86,525","44,572","0","1","0","12","17"
"Hospitalizations","04/24/2021","50-64","57.6","0.0",,,,,,,,,"168,402","134,446",,"97","0",,"50","64"
"Cases","08/26/2023","30-49","68.2","26.2","39.7","2.6","1.7",,,,,,"107,080","278,396","347,321","73","73","138","30","49"
"Hospitalizations","04/30/2022","All","5.8","4.0","4.5","1.5","1.3","7.4","5.6","3.3","1.3","2.3","650,306","891,088","952,817","38","36","43","999","999"
"Cases","08/06/2022","18-29","400.7","148.5","236.2","2.7","1.7",,,,,,"92,082","212,811","158,786","369","316","375","18","29"
"Deaths","01/22/2022","All","16.6","5.6","1.2","3.0","13.8","21.5","8.1","0.7","2.7","30.4","724,665","989,128","733,279","120","55","9","999","999"
"Cases","06/26/2021","All","15.2","4.2",,"3.6",,"16.6","3.3",,"5.1",,"1,221,600","1,290,050",,"186","54",,"999","999"
"Cases","04/09/2022","50-64","106.9","42.8","95.4","2.5","1.1",,,,,,"44,900","137,887","228,401","48","59","218","50","64"
"Cases","06/18/2022","12-17","119.9","76.8","121.1","1.6","1.0",,,,,,"36,709","92,398","36,325","44","71","44","12","17"
"Hospitalizations","11/27/2021","80+","62.4","48.0","0.0","1.3",,,,,,,"28,858","33,319","22,158","18","16","0","80","200"
"Hospitalizations","07/08/2023","18-29","2.7","0.0","0.0",,,,,,,,"74,160","214,139","161,703","2","0","0","18","29"
"Cases","01/22/2022","12-17","797.5","576.9","291.3","1.4","2.7",,,,,,"46,018","104,354","8,581","367","602","25","12","17"
"Deaths","02/19/2022","65-79","16.2","8.9","2.6","1.8","6.2",,,,,,"49,241","56,313","153,089","8","5","4","65","79"
"Deaths","03/11/2023","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Hospitalizations","04/29/2023","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Deaths","11/12/2022","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Cases","10/09/2021","80+","39.4","36.4",,"1.1",,,,,,,"30,481","52,266",,"12","19",,"80","200"
"Deaths","11/19/2022","80+","19.9","8.8","4.2","2.3","4.7",,,,,,"25,083","11,368","47,093","5","1","2","80","200"
"Cases","06/11/2022","65-79","170.8","144.6","176.4","1.2","1.0",,,,,,"46,831","47,037","166,138","80","68","293","65","79"
"Hospitalizations","07/16/2022","80+","53.1","100.0","60.7","0.5","0.9",,,,,,"26,383","12,003","46,163","14","12","28","80","200"
"Cases","12/04/2021","All","448.6","198.1","47.4","2.3","9.5","514.0","162.0","43.8","3.2","11.7","864,337","1,287,028","333,146","3,877","2,550","158","999","999"
"Deaths","06/04/2022","All","0.6","0.1","0.2","6.0","3.0","0.8","0.3","0.1","3.0","5.4","641,809","878,533","974,045","4","1","2","999","999"
"Hospitalizations","08/07/2021","12-17","2.2","0.0",,,,,,,,,"89,733","67,504",,"2","0",,"12","17"
"Deaths","12/03/2022","18-29","0.0","0.0","0.0",,,,,,,,"81,009","212,601","161,582","0","0","0","18","29"
"Deaths","12/17/2022","18-29","0.0","0.0","0.0",,,,,,,,"79,968","212,771","161,600","0","0","0","18","29"
"Hospitalizations","07/01/2023","65-79","10.2","0.0","2.3",,"4.4",,,,,,"39,376","43,427","171,741","4","0","4","65","79"
"Cases","10/28/2023","12-17","28.5","17.3","26.9","1.6","1.1",,,,,,"31,598","86,545","44,641","9","15","12","12","17"
"Hospitalizations","03/04/2023","50-64","17.8","6.4","7.3","2.8","2.4",,,,,,"33,780","125,603","246,874","6","8","18","50","64"
"Hospitalizations","11/18/2023","0-4","5.5","0.0",,,,,,,,,"162,642",,,"9","0",,"0","4"
"Cases","06/05/2021","12-17","23.6","0.0",,,,,,,,,"122,939","11,914",,"29","0",,"12","17"
"Cases","03/25/2023","All","78.2","49.3","63.5","1.6","1.2","86.9","50.3","59.8","1.7","1.5","541,869","858,761","1,040,518","424","423","661","999","999"
